,Price,Distance,Bathroom,Car,Landsize,BuildingArea
4309,937500.0,3.5,1.0,0.0,100.0,72.0
4313,1300000.0,3.5,1.0,1.0,203.0,110.0
4316,1300000.0,3.5,2.0,0.0,127.0,135.0
4318,2150000.0,3.5,2.0,0.0,202.0,307.0
4321,1581000.0,3.5,1.0,0.0,193.0,132.0
4326,1450000.0,3.5,2.0,1.0,118.0,103.0
4342,1130000.0,4.4,1.0,0.0,294.0,140.0
4343,1110000.0,4.4,1.0,1.0,272.0,131.0
4345,918000.0,4.4,1.0,0.0,136.0,78.0
4346,730000.0,4.4,1.0,1.0,140.0,98.0
4348,855000.0,4.4,1.0,0.0,225.0,85.0
4354,1012000.0,4.4,1.0,1.0,212.0,102.0
4366,1100000.0,4.4,2.0,0.0,179.0,150.0
4370,395000.0,4.4,1.0,1.0,818.0,50.0
4373,1115000.0,4.4,1.0,1.0,244.0,84.0
4379,1225000.0,6.4,2.0,1.0,319.0,130.0
4381,1003000.0,6.4,1.0,1.0,292.0,98.0
4382,840000.0,6.4,1.0,0.0,164.0,93.0
4383,1362000.0,6.4,2.0,0.0,497.0,156.0
4384,977000.0,6.4,2.0,1.0,154.0,161.0
4386,876000.0,6.4,2.0,2.0,204.0,106.0
4388,841000.0,6.4,2.0,2.0,250.0,160.0
4392,480000.0,6.4,1.0,1.0,556.0,75.0
4394,910000.0,6.4,1.0,1.0,361.0,118.0
4395,291000.0,6.4,1.0,1.0,665.0,46.0
4398,752000.0,6.4,1.0,0.0,215.0,98.0
4400,1155000.0,6.4,1.0,3.0,585.0,120.0
4406,775000.0,6.4,1.0,2.0,277.0,87.0
4412,714000.0,6.4,2.0,2.0,164.0,3.0
4414,950000.0,6.4,1.0,2.0,657.0,92.0
4417,760000.0,6.4,1.0,1.0,265.0,115.0
4422,932000.0,6.4,1.0,1.0,451.0,130.0
4423,780000.0,6.4,1.0,2.0,323.0,129.0
4427,1170000.0,6.4,1.0,1.0,184.0,103.0
4430,747000.0,6.4,1.0,1.0,246.0,120.0
4433,775000.0,6.4,1.0,1.0,242.0,99.0
4440,860500.0,6.4,2.0,2.0,322.0,228.0
4448,711000.0,6.4,1.0,2.0,253.0,90.0
4450,690500.0,6.4,1.0,1.0,212.0,98.0
4451,747000.0,6.4,1.0,1.0,320.0,94.0
4455,858000.0,6.4,1.0,1.0,313.0,93.0
4457,835000.0,6.4,1.0,1.0,222.0,109.0
4458,661000.0,6.4,1.0,1.0,132.0,83.0
4459,757500.0,6.4,1.0,0.0,258.0,108.0
4464,282000.0,6.4,1.0,1.0,1783.0,42.0
4465,699000.0,6.4,1.0,1.0,125.0,113.0
4467,850000.0,6.4,1.0,0.0,190.0,99.0
4468,315000.0,6.4,1.0,1.0,882.0,74.0
4470,740000.0,6.4,1.0,1.0,211.0,94.0
4477,980000.0,6.4,2.0,2.0,196.0,154.0
4481,760000.0,6.4,1.0,0.0,130.0,70.0
4482,735000.0,6.4,2.0,2.0,112.0,168.0
4484,1225000.0,6.4,2.0,1.0,319.0,130.0
4490,767500.0,6.4,2.0,0.0,458.0,98.0
4493,815000.0,6.4,2.0,1.0,369.0,151.0
4496,757000.0,6.4,2.0,2.0,102.0,102.0
4497,1450000.0,6.4,1.0,1.0,799.0,160.0
4498,745000.0,6.4,1.0,1.0,355.0,74.0
4499,716000.0,6.4,1.0,2.0,274.0,275.0
4500,1735000.0,9.2,2.0,3.0,680.0,170.0
4504,3400000.0,9.2,3.0,2.0,856.0,265.0
4505,3730000.0,9.2,3.0,2.0,919.0,353.0
4506,1800000.0,9.2,2.0,2.0,868.0,217.0
4512,1998000.0,9.2,2.0,1.0,739.0,183.0
4519,1425000.0,9.2,2.0,2.0,217.0,163.0
4522,1530000.0,9.2,1.0,1.0,753.0,118.0
4523,1900000.0,9.2,4.0,2.0,708.0,323.0
4528,1360000.0,9.2,2.0,1.0,704.0,134.0
4530,2175000.0,9.2,3.0,4.0,619.0,327.0
4533,2325000.0,9.2,3.0,2.0,638.0,314.0
4536,2538000.0,9.2,2.0,3.0,630.0,314.0
4538,2300000.0,9.2,3.0,4.0,1258.0,254.0
4540,1600000.0,9.2,2.0,1.0,704.0,134.0
4544,2115000.0,9.2,2.0,2.0,745.0,157.0
4545,1700000.0,9.2,2.0,2.0,625.0,188.0
4552,2077000.0,9.2,2.0,3.0,553.0,143.0
4553,2850000.0,9.2,3.0,2.0,1184.0,305.0
4565,2020000.0,9.2,2.0,2.0,630.0,351.0
4575,2010000.0,9.2,2.0,2.0,659.0,212.0
4589,1820000.0,9.2,1.0,3.0,650.0,136.0
4591,291000.0,9.2,1.0,1.0,1097.0,38.0
4595,2376000.0,9.2,2.0,2.0,652.0,230.0
4601,1456000.0,9.2,1.0,2.0,504.0,142.0
4609,345000.0,9.2,1.0,1.0,745.0,44.0
4610,2000000.0,9.2,3.0,1.0,696.0,248.0
4619,1700000.0,9.2,3.0,1.0,650.0,266.0
4628,1375000.0,9.2,2.0,2.0,328.0,176.0
4630,920000.0,9.2,1.0,2.0,334.0,115.0
4636,382000.0,9.2,1.0,1.0,1069.0,33.0
4640,1280000.0,9.2,1.0,1.0,412.0,123.0
4645,2825000.0,9.2,4.0,4.0,802.0,206.0
4646,2825000.0,9.2,2.0,4.0,885.0,217.0
4648,1825000.0,9.2,3.0,2.0,366.0,26.0
4655,3085000.0,9.2,3.0,3.0,778.0,326.0
4667,1600000.0,9.2,2.0,2.0,718.0,184.0
4672,2352500.0,9.2,3.0,2.0,642.0,336.0
4673,3860000.0,9.2,4.0,2.0,830.0,520.0
4674,2625000.0,9.2,3.0,2.0,840.0,326.0
4689,1950000.0,9.2,2.0,2.0,775.0,155.0
4690,2200000.0,9.2,1.0,2.0,700.0,142.0
4691,1751000.0,9.2,1.0,3.0,609.0,140.0
4692,1857000.0,9.2,2.0,3.0,548.0,205.0
4696,1500000.0,9.2,1.0,3.0,401.0,107.0
4698,2725000.0,9.2,3.0,2.0,603.0,246.0
4701,2800000.0,9.2,1.0,2.0,762.0,153.0
4702,1665000.0,9.2,1.0,2.0,685.0,143.0
4705,1420000.0,9.2,1.0,2.0,615.0,607.0
4715,2410000.0,9.2,2.0,2.0,654.0,354.0
4719,2100000.0,9.2,2.0,2.0,645.0,216.0
4721,2950000.0,9.2,2.0,2.0,1485.0,295.0
4724,3365000.0,9.2,2.0,2.0,1339.0,270.0
4731,1931000.0,9.2,2.0,2.0,648.0,193.0
4734,1250000.0,9.2,1.0,2.0,438.0,107.0
4735,2400000.0,9.2,3.0,2.0,709.0,672.0
4740,610000.0,13.0,1.0,2.0,696.0,118.0
4746,610000.0,13.0,1.0,3.0,640.0,144.0
4750,806500.0,13.0,1.0,2.0,766.0,127.0
4758,550000.0,13.0,2.0,1.0,683.0,138.0
4759,822000.0,13.0,1.0,4.0,700.0,105.0
4761,980000.0,13.0,2.0,3.0,1029.0,136.0
4767,430000.0,13.0,1.0,1.0,164.0,100.0
4770,540000.0,13.0,1.0,1.0,164.0,114.0
4777,737000.0,13.0,1.0,4.0,640.0,97.0
4780,460000.0,13.0,2.0,2.0,224.0,3.0
4788,545000.0,13.0,2.0,1.0,136.0,130.0
4791,670000.0,13.0,1.0,4.0,734.0,140.0
4793,702000.0,13.0,1.0,4.0,606.0,124.0
4794,730000.0,13.0,1.0,1.0,705.0,115.0
4798,711500.0,13.0,1.0,3.0,667.0,81.0
4800,810000.0,13.0,4.0,4.0,695.0,176.0
4805,460000.0,13.0,1.0,1.0,325.0,106.0
4808,793000.0,13.0,1.0,2.0,780.0,120.0
4814,447500.0,13.0,1.0,1.0,320.0,130.0
4815,588000.0,13.0,1.0,1.0,616.0,125.0
4821,410000.0,13.0,1.0,2.0,200.0,81.0
4826,525000.0,13.0,1.0,1.0,665.0,85.0
4829,703000.0,13.0,1.0,4.0,704.0,102.0
4830,608000.0,13.0,2.0,1.0,252.0,150.0
4840,765500.0,13.0,2.0,2.0,780.0,180.0
4848,470000.0,13.0,1.0,2.0,187.0,99.0
4852,580000.0,13.0,1.0,2.0,650.0,142.0
4856,620250.0,13.0,1.0,2.0,253.0,91.0
4858,710000.0,13.0,1.0,1.0,796.0,104.0
4860,630000.0,13.0,1.0,2.0,630.0,130.0
4863,600000.0,13.0,1.0,4.0,541.0,139.0
4865,550000.0,13.0,2.0,2.0,212.0,129.0
4869,600000.0,13.0,1.0,2.0,586.0,159.0
4871,1217500.0,13.0,3.0,2.0,693.0,192.0
4872,600000.0,13.0,1.0,2.0,599.0,150.0
4875,570000.0,13.0,2.0,2.0,585.0,146.0
4879,762700.0,13.0,1.0,4.0,597.0,100.0
4880,465000.0,13.0,1.0,1.0,176.0,89.0
4881,741250.0,13.0,1.0,1.0,668.0,88.0
4891,1000000.0,13.0,2.0,8.0,977.0,304.0
4893,630000.0,13.0,2.0,2.0,602.0,180.0
4897,670000.0,13.0,1.0,3.0,705.0,135.0
4898,417000.0,13.0,1.0,1.0,172.0,77.0
4899,600000.0,13.0,1.0,2.0,258.0,143.0
4901,440000.0,13.0,2.0,1.0,215.0,121.0
4903,660000.0,13.0,1.0,2.0,657.0,116.0
4909,270000.0,13.0,1.0,1.0,155.0,155.0
4910,825000.0,13.0,2.0,4.0,768.0,194.0
4912,638000.0,13.0,2.0,1.0,624.0,258.0
4913,631000.0,13.6,2.0,2.0,608.0,138.0
4914,532000.0,13.6,2.0,1.0,149.0,19.0
4917,504000.0,13.6,2.0,1.0,215.0,139.0
4919,468000.0,13.6,2.0,2.0,178.0,138.0
4922,709000.0,13.6,2.0,2.0,453.0,213.0
4924,485000.0,13.6,2.0,1.0,175.0,134.0
4927,540000.0,13.6,2.0,1.0,367.0,141.0
4929,390000.0,13.6,2.0,1.0,158.0,136.0
4932,800000.0,13.6,2.0,2.0,719.0,251.0
4934,740000.0,13.6,2.0,2.0,453.0,213.0
4936,605000.0,12.1,1.0,2.0,597.0,116.0
4938,685500.0,12.1,1.0,2.0,724.0,103.0
4939,610000.0,12.1,1.0,1.0,394.0,98.0
4940,630000.0,12.1,1.0,1.0,604.0,112.0
4941,870000.0,12.1,3.0,5.0,591.0,268.0
4942,810000.0,12.1,2.0,2.0,592.0,129.0
4950,487000.0,12.1,1.0,2.0,198.0,96.0
4951,700000.0,12.1,2.0,2.0,700.0,168.0
4952,600500.0,12.1,2.0,1.0,462.0,161.0
4954,730000.0,12.1,1.0,2.0,570.0,134.0
4955,800000.0,12.1,2.0,2.0,565.0,116.0
4958,750000.0,12.1,2.0,2.0,301.0,251.0
4959,740000.0,12.1,1.0,1.0,568.0,115.0
4962,646000.0,12.1,1.0,2.0,574.0,106.0
4963,545000.0,12.1,2.0,3.0,230.0,113.0
4965,777000.0,12.1,1.0,2.0,700.0,176.0
4967,722000.0,12.1,3.0,1.0,580.0,103.0
4968,545000.0,12.1,1.0,3.0,591.0,102.0
4971,510000.0,12.1,2.0,2.0,234.0,115.0
4973,631500.0,12.1,1.0,3.0,593.0,95.0
4976,550000.0,12.1,1.0,3.0,610.0,142.0
4977,330000.0,12.1,1.0,1.0,249.0,2.0
4983,715888.0,12.1,1.0,1.0,613.0,92.0
4985,468000.0,12.1,1.0,1.0,137.0,110.0
4991,515000.0,12.1,1.0,2.0,345.0,79.0
4995,895000.0,13.7,1.0,1.0,228.0,87.0
4997,2800000.0,13.7,3.0,2.0,701.0,320.0
4999,3250000.0,13.7,3.0,2.0,928.0,300.0
5001,2140000.0,13.7,2.0,3.0,688.0,187.0
5003,1600000.0,13.7,2.0,2.0,607.0,242.0
5006,1003500.0,13.7,1.0,2.0,289.0,109.0
5012,1560000.0,13.7,1.0,3.0,593.0,125.0
5023,1680000.0,13.7,1.0,1.0,723.0,90.0
5028,1120000.0,13.7,2.0,3.0,373.0,113.0
5031,3200000.0,13.7,3.0,3.0,760.0,325.0
5032,1250000.0,13.7,3.0,2.0,398.0,220.0
5034,2000000.0,13.7,3.0,4.0,615.0,248.0
5036,1805000.0,13.7,2.0,2.0,700.0,224.0
5046,2600000.0,13.7,1.0,2.0,1504.0,162.0
5050,3470000.0,13.7,3.0,4.0,670.0,413.0
5056,1050000.0,13.7,2.0,2.0,357.0,120.0
5058,810000.0,13.7,1.0,1.0,195.0,115.0
5061,1460000.0,13.7,2.0,2.0,413.0,137.0
5067,3075000.0,13.7,2.0,2.0,830.0,204.0
5070,875500.0,13.7,2.0,1.0,225.0,118.0
5074,2600000.0,13.7,4.0,2.0,1000.0,324.0
5077,1705000.0,13.7,2.0,2.0,648.0,364.0
5086,1515000.0,13.7,2.0,0.0,611.0,613.0
5087,2980000.0,13.7,3.0,2.0,694.0,323.0
5091,2200000.0,13.7,3.0,4.0,583.0,305.0
5094,1100000.0,13.7,2.0,1.0,355.0,140.0
5097,3325000.0,13.7,3.0,2.0,627.0,303.0
5105,1460000.0,13.7,3.0,2.0,562.0,228.0
5112,1740000.0,13.7,3.0,2.0,414.0,209.0
5114,1800000.0,13.7,2.0,1.0,667.0,184.0
5120,2160000.0,13.7,2.0,1.0,577.0,231.0
5126,2250000.0,13.7,2.0,2.0,647.0,260.0
5128,2130000.0,13.7,2.0,2.0,714.0,188.0
5155,926000.0,14.5,2.0,2.0,393.0,140.0
5156,1070000.0,14.5,1.0,3.0,583.0,106.0
5157,801000.0,14.5,1.0,1.0,217.0,107.0
5162,472000.0,14.5,1.0,1.0,215.0,68.0
5171,1300000.0,14.5,2.0,2.0,586.0,150.0
5179,1650000.0,4.6,2.0,2.0,317.0,210.0
5181,2670000.0,4.6,2.0,1.0,336.0,235.0
5189,1189000.0,4.6,1.0,1.0,181.0,122.0
5203,2000000.0,4.6,2.0,1.0,460.0,176.0
5213,1420000.0,4.6,1.0,0.0,218.0,108.0
5222,580000.0,4.6,1.0,1.0,1089.0,76.0
5223,1300000.0,4.6,2.0,1.0,341.0,155.0
5224,1300000.0,4.6,1.0,0.0,232.0,90.0
5237,1741000.0,4.6,1.0,1.0,383.0,109.0
5252,2065000.0,4.6,1.0,1.0,351.0,150.0
5258,1712000.0,4.6,1.0,1.0,342.0,130.0
5265,3225000.0,4.6,2.0,2.0,665.0,220.0
5275,1650000.0,4.6,2.0,3.0,207.0,180.0
5276,3950000.0,4.6,2.0,3.0,1236.0,340.0
5278,587500.0,4.6,1.0,1.0,1099.0,72.0
5282,1936000.0,4.6,2.0,1.0,218.0,173.0
5283,4250000.0,4.6,4.0,3.0,1275.0,435.0
5289,1560000.0,4.6,2.0,0.0,198.0,148.0
5310,657500.0,4.6,1.0,1.0,728.0,73.0
5312,5050000.0,4.6,4.0,2.0,905.0,373.0
5315,1180000.0,4.6,1.0,3.0,218.0,92.0
5320,1800000.0,4.6,2.0,4.0,601.0,158.0
5323,1855000.0,4.6,1.0,1.0,304.0,125.0
5329,1551000.0,4.6,1.0,1.0,199.0,103.0
5335,612500.0,4.6,1.0,1.0,859.0,71.0
5336,2410000.0,4.6,2.0,0.0,249.0,171.0
5345,1055000.0,4.6,2.0,1.0,191.0,151.0
5346,1976000.0,4.6,2.0,2.0,410.0,275.0
5351,3750000.0,4.6,3.0,2.0,827.0,344.0
5353,1400000.0,4.6,2.0,1.0,164.0,126.0
5364,815000.0,10.5,1.0,2.0,589.0,120.0
5372,565000.0,10.5,2.0,1.0,201.0,107.0
5381,994000.0,10.5,2.0,2.0,807.0,192.0
5386,785000.0,10.5,1.0,0.0,592.0,130.0
5388,620000.0,10.5,2.0,2.0,215.0,118.0
5390,706750.0,10.5,2.0,2.0,250.0,125.0
5392,584000.0,10.5,1.0,1.0,428.0,84.0
5393,909000.0,10.5,2.0,2.0,585.0,134.0
5394,1086000.0,10.5,2.0,2.0,724.0,161.0
5396,680000.0,10.5,1.0,1.0,605.0,78.0
5399,650000.0,10.5,1.0,3.0,620.0,85.0
5400,890000.0,10.5,2.0,2.0,596.0,172.0
5401,650000.0,10.5,1.0,2.0,582.0,90.0
5408,605000.0,10.5,1.0,1.0,166.0,87.0
5410,950000.0,10.5,1.0,2.0,800.0,118.0
5411,856000.0,10.5,1.0,2.0,722.0,208.0
5412,600000.0,10.5,2.0,2.0,251.0,200.0
5421,915000.0,10.5,1.0,1.0,748.0,101.0
5422,400000.0,10.5,1.0,1.0,127.0,83.0
5426,550000.0,10.5,1.0,1.0,420.0,90.0
5428,590000.0,10.5,1.0,2.0,586.0,80.0
5429,920000.0,10.5,1.0,3.0,932.0,97.0
5430,460000.0,10.5,1.0,2.0,508.0,79.0
5432,1000500.0,10.5,2.0,1.0,592.0,191.0
5433,631000.0,10.5,1.0,1.0,596.0,99.0
5436,691000.0,9.4,1.0,2.0,624.0,86.0
5437,560000.0,9.4,1.0,1.0,523.0,87.0
5446,370000.0,9.4,1.0,1.0,100.0,90.0
5447,532000.0,9.4,1.0,1.0,390.0,86.0
5458,515500.0,9.4,1.0,1.0,331.0,111.0
5459,800000.0,9.4,1.0,3.0,633.0,88.0
5463,620000.0,9.4,1.0,2.0,668.0,88.0
5466,440500.0,9.4,1.0,1.0,368.0,81.0
5467,758000.0,9.4,1.0,1.0,632.0,152.0
5474,480000.0,9.4,1.0,1.0,338.0,13.0
5475,715000.0,9.4,2.0,2.0,521.0,196.0
5477,646250.0,9.4,1.0,2.0,616.0,18.0
5478,1375000.0,9.4,1.0,1.0,368.0,106.0
5481,722000.0,9.4,1.0,2.0,593.0,99.0
5487,725000.0,9.4,1.0,3.0,632.0,77.0
5495,465000.0,9.4,1.0,1.0,413.0,85.0
5498,1550000.0,13.0,1.0,1.0,732.0,97.0
5501,1340000.0,13.0,1.0,1.0,705.0,128.0
5503,1316000.0,13.0,1.0,2.0,715.0,126.0
5504,828000.0,13.0,2.0,1.0,206.0,118.0
5506,1055000.0,13.0,1.0,1.0,562.0,97.0
5508,623000.0,13.0,1.0,1.0,101.0,90.0
5509,2120000.0,13.0,2.0,2.0,847.0,315.0
5510,1745000.0,13.0,2.0,1.0,547.0,185.0
5512,1700000.0,13.0,2.0,2.0,545.0,180.0
5520,1337000.0,13.0,1.0,2.0,696.0,100.0
5523,400000.0,13.0,1.0,1.0,100.0,88.0
5527,1210000.0,13.0,1.0,2.0,730.0,122.0
5530,1167500.0,13.0,2.0,1.0,678.0,184.0
5531,900000.0,13.0,2.0,1.0,360.0,154.0
5533,677500.0,13.0,1.0,4.0,575.0,83.0
5540,2265000.0,7.9,2.0,2.0,925.0,208.0
5546,981000.0,7.9,3.0,2.0,626.0,378.0
5547,2400000.0,7.9,2.0,2.0,1252.0,201.0
5548,890000.0,7.9,2.0,2.0,249.0,140.0
5552,739000.0,7.9,1.0,1.0,648.0,91.0
5555,785000.0,7.9,2.0,0.0,399.0,110.0
5556,1155000.0,7.9,1.0,2.0,537.0,170.0
5559,1020000.0,7.9,1.0,1.0,557.0,78.0
5562,1465000.0,7.9,1.0,2.0,630.0,126.0
5566,413000.0,7.9,1.0,1.0,845.0,59.0
5569,1220000.0,7.9,1.0,1.0,687.0,110.0
5571,1605000.0,7.9,2.0,2.0,608.0,165.0
5572,587000.0,7.9,1.0,1.0,721.0,78.0
5584,1535000.0,7.9,1.0,2.0,691.0,140.0
5586,1470000.0,7.9,2.0,1.0,694.0,217.0
5587,1486000.0,7.9,1.0,2.0,645.0,158.0
5593,1730000.0,7.9,2.0,2.0,689.0,292.0
5596,1850000.0,7.9,2.0,2.0,684.0,232.0
5601,2600000.0,7.9,3.0,1.0,1006.0,411.0
5608,1102000.0,7.9,1.0,1.0,597.0,115.0
5609,1275000.0,7.9,2.0,2.0,834.0,169.0
5611,785000.0,7.9,2.0,1.0,124.0,135.0
5612,1223500.0,7.9,2.0,2.0,721.0,136.0
5614,1720000.0,7.9,2.0,3.0,631.0,233.0
5617,1225000.0,7.9,1.0,1.0,572.0,130.0
5619,1460000.0,7.9,1.0,2.0,605.0,181.0
5623,2090000.0,7.9,3.0,2.0,608.0,315.0
5630,700000.0,7.9,2.0,1.0,189.0,110.0
5635,2595000.0,7.9,3.0,3.0,719.0,407.0
5637,710000.0,7.9,1.0,1.0,134.0,120.0
5653,515000.0,15.0,1.0,4.0,597.0,114.0
5655,582000.0,15.0,2.0,4.0,530.0,186.0
5656,545000.0,15.0,2.0,2.0,570.0,163.0
5658,751000.0,15.0,2.0,2.0,649.0,305.0
5659,500000.0,15.0,1.0,2.0,574.0,100.0
5660,560000.0,15.0,2.0,2.0,612.0,155.0
5663,703000.0,12.8,2.0,2.0,683.0,200.0
5665,650000.0,12.8,1.0,1.0,538.0,104.0
5666,770000.0,12.8,2.0,1.0,331.0,201.0
5669,900000.0,12.8,2.0,1.0,289.0,125.0
5672,700000.0,12.8,2.0,2.0,288.0,116.0
5675,816000.0,12.8,2.0,1.0,540.0,188.0
5677,845000.0,12.8,1.0,1.0,622.0,126.0
5680,772000.0,12.8,2.0,3.0,672.0,132.0
5683,757000.0,12.8,2.0,1.0,532.0,140.0
5685,690000.0,12.8,2.0,2.0,568.0,148.0
5687,583000.0,12.8,1.0,1.0,412.0,133.0
5689,880000.0,12.8,1.0,2.0,584.0,123.0
5690,580000.0,12.8,2.0,2.0,112.0,138.0
5691,886000.0,12.8,3.0,1.0,322.0,257.0
5693,920000.0,12.8,2.0,2.0,745.0,182.0
5698,976000.0,12.8,3.0,2.0,605.0,212.0
5700,1420000.0,12.8,2.0,2.0,613.0,250.0
5702,900000.0,12.8,1.0,1.0,713.0,127.0
5709,560000.0,12.8,1.0,2.0,352.0,102.0
5710,1010000.0,12.8,2.0,2.0,776.0,268.0
5716,835000.0,12.8,2.0,3.0,708.0,184.0
5717,705000.0,12.8,2.0,1.0,440.0,156.0
5720,680000.0,12.8,2.0,2.0,224.0,154.0
5727,785000.0,12.8,1.0,2.0,606.0,141.0
5729,695000.0,12.8,2.0,2.0,716.0,154.0
5732,770000.0,12.8,2.0,2.0,546.0,174.0
5734,570000.0,12.8,1.0,2.0,542.0,120.0
5736,830000.0,12.8,2.0,2.0,686.0,198.0
5737,600000.0,12.8,1.0,1.0,565.0,125.0
5738,825000.0,12.8,2.0,1.0,630.0,126.0
5743,735000.0,12.8,2.0,2.0,547.0,184.0
5745,875000.0,12.8,2.0,2.0,928.0,130.0
5746,601200.0,12.8,1.0,1.0,554.0,147.0
5749,680000.0,12.8,1.0,2.0,558.0,105.0
5757,705000.0,12.8,1.0,2.0,616.0,201.0
5758,710000.0,12.8,2.0,1.0,320.0,133.0
5760,732000.0,12.8,2.0,2.0,544.0,233.0
5761,715000.0,12.8,2.0,4.0,598.0,123.0
5763,852000.0,4.2,1.0,1.0,166.0,138.0
5764,1037000.0,4.2,1.0,1.0,188.0,106.0
5766,1470000.0,4.2,1.0,1.0,199.0,121.0
5779,1271000.0,4.2,1.0,1.0,284.0,113.0
5780,1010000.0,4.2,1.0,0.0,234.0,104.0
5781,750000.0,4.2,1.0,1.0,325.0,112.0
5785,905000.0,4.2,2.0,1.0,138.0,126.0
5787,960000.0,4.2,1.0,1.0,174.0,72.0
5788,1031000.0,4.2,1.0,1.0,163.0,99.0
5790,870000.0,4.2,1.0,1.0,211.0,95.0
5791,1165000.0,4.2,1.0,0.0,239.0,135.0
5792,1710000.0,4.2,2.0,2.0,566.0,270.0
5795,1455000.0,4.2,1.0,0.0,275.0,120.0
5799,765000.0,4.2,1.0,2.0,158.0,76.0
5807,1234500.0,4.2,2.0,2.0,169.0,127.0
5808,666000.0,4.2,1.0,2.0,1111.0,92.0
5812,825000.0,4.2,1.0,1.0,211.0,88.0
5817,812000.0,4.2,1.0,0.0,132.0,79.0
5818,1900000.0,4.2,2.0,2.0,566.0,270.0
5822,1260000.0,4.2,2.0,2.0,250.0,147.0
5823,1000000.0,4.2,2.0,2.0,211.0,132.0
5824,1155000.0,4.2,1.0,1.0,197.0,101.0
5828,790000.0,4.2,2.0,2.0,1181.0,136.0
5830,700000.0,4.2,2.0,1.0,324.0,97.0
5832,1230000.0,4.2,1.0,1.0,312.0,109.0
5838,850000.0,4.2,1.0,1.0,169.0,90.0
5877,610000.0,5.6,1.0,1.0,745.0,72.0
5901,3550000.0,5.6,3.0,4.0,992.0,374.0
5902,1326000.0,5.6,1.0,2.0,405.0,80.0
5906,1950000.0,5.6,2.0,2.0,400.0,251.0
5911,2550000.0,5.6,2.0,2.0,603.0,220.0
5915,1878000.0,5.6,2.0,1.0,392.0,426.0
5918,1910000.0,5.6,3.0,2.0,277.0,199.0
5920,1410000.0,5.6,1.0,2.0,304.0,127.0
5922,2310000.0,5.6,1.0,2.0,782.0,175.0
5925,2315000.0,5.6,2.0,0.0,364.0,183.0
5926,800000.0,5.6,2.0,2.0,848.0,97.0
5930,4850000.0,5.6,4.0,4.0,957.0,400.0
5945,1905000.0,5.6,2.0,2.0,591.0,190.0
5949,2286000.0,5.6,3.0,2.0,712.0,237.0
5954,1575000.0,5.6,2.0,2.0,397.0,80.0
5965,2350000.0,5.6,2.0,2.0,861.0,358.0
5966,1312000.0,5.6,2.0,1.0,687.0,180.0
5970,1331000.0,5.6,1.0,1.0,424.0,89.0
5971,1800000.0,5.6,2.0,2.0,586.0,187.0
5978,1476000.0,5.6,2.0,2.0,288.0,203.0
5979,2590000.0,5.6,2.0,2.0,660.0,215.0
5980,2625000.0,5.6,2.0,2.0,717.0,225.0
5986,2265000.0,5.6,1.0,1.0,650.0,242.0
5996,2550000.0,5.6,4.0,2.0,597.0,342.0
6001,1330000.0,5.6,2.0,2.0,205.0,184.0
6005,1450000.0,5.6,2.0,2.0,247.0,204.0
6009,3650000.0,5.6,2.0,3.0,1353.0,282.0
6022,2460000.0,5.6,4.0,2.0,737.0,293.0
6025,2850000.0,5.6,2.0,4.0,690.0,248.0
6029,2425000.0,5.6,2.0,2.0,534.0,237.0
6030,610000.0,5.6,1.0,1.0,745.0,72.0
6032,955000.0,5.6,2.0,2.0,140.0,121.0
6033,707500.0,5.6,1.0,1.0,124.0,86.0
6037,732000.0,5.6,1.0,1.0,904.0,110.0
6038,2875000.0,5.6,1.0,1.0,1065.0,90.0
6047,1500000.0,5.6,1.0,2.0,857.0,130.0
6048,1750000.0,5.6,3.0,2.0,641.0,230.0
6051,1440000.0,5.6,1.0,1.0,298.0,130.0
6052,2560000.0,5.6,3.0,4.0,670.0,346.0
6053,2600000.0,5.6,2.0,2.0,674.0,281.0
6070,2600000.0,5.6,3.0,2.0,700.0,700.0
6074,2800000.0,5.6,2.0,3.0,920.0,241.0
6076,1420000.0,5.6,2.0,2.0,275.0,153.0
6078,1800000.0,5.6,2.0,1.0,336.0,139.0
6083,2250000.0,5.6,3.0,2.0,741.0,307.0
6091,1950000.0,7.5,2.0,3.0,711.0,253.0
6097,1920000.0,7.5,1.0,2.0,672.0,152.0
6104,1615000.0,7.5,1.0,1.0,702.0,127.0
6110,2081000.0,7.5,4.0,3.0,948.0,311.0
6111,1315000.0,7.5,2.0,2.0,458.0,200.0
6114,1750000.0,7.5,2.0,4.0,611.0,160.0
6118,2100000.0,7.5,3.0,2.0,695.0,360.0
6127,1315000.0,7.5,2.0,2.0,458.0,200.0
6130,1620000.0,7.5,2.0,2.0,248.0,167.0
6150,615000.0,9.2,2.0,2.0,165.0,161.0
6151,715000.0,9.2,1.0,1.0,576.0,128.0
6153,826000.0,9.2,2.0,2.0,308.0,185.0
6154,275000.0,9.2,1.0,1.0,1972.0,63.0
6155,711000.0,9.2,1.0,0.0,163.0,69.0
6159,695000.0,9.2,2.0,1.0,156.0,124.0
6163,490000.0,9.2,1.0,2.0,306.0,91.0
6167,502000.0,9.2,1.0,1.0,144.0,79.0
6168,721000.0,9.2,2.0,1.0,239.0,121.0
6174,840000.0,9.2,1.0,1.0,584.0,81.0
6178,832000.0,9.2,1.0,2.0,300.0,125.0
6179,646000.0,9.2,1.0,2.0,270.0,95.0
6182,673000.0,9.2,1.0,2.0,285.0,107.0
6186,695000.0,9.2,1.0,2.0,214.0,146.0
